#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.004362,3,1,0,2067
0.001368,4,1,0,2557
0.389385,5,1,0,2806
0.354802,6,1,0,3205
0.419836,7,1,0,3831
0.572649,8,1,0,3909
1.198977,9,1,0,4239
0.904121,10,1,0,4544
1.460882,11,1,0,5028
2.624518,12,1,0,5592
1.270353,13,1,0,5814
1.625364,14,1,0,6064
2.733066,15,1,0,6423
2.956517,16,1,0,6806
3.471694,17,1,0,7203
4.167767,18,1,0,7609
3.141773,19,1,0,7737
3.352628,20,1,0,8293
4.487229,21,1,0,8929
4.462826,22,1,0,9369
5.220981,23,1,0,9571
4.227080,24,1,0,9888
7.989890,25,1,0,10265
6.827475,26,1,0,10520
7.787658,27,1,0,10793
5.779642,28,1,0,11083
11.355100,29,1,0,11372
9.261614,30,1,0,11592
9.310176,31,1,0,11866
6.634282,32,1,0,12298
7.967768,33,1,0,12746
13.730777,33,2,0,13020
11.817409,34,2,0,13339
8.451132,35,2,0,13690
11.116064,37,1,0,13922
9.117229,37,1,0,13831
11.273300,38,1,0,14144
11.255594,39,1,0,14473
12.851420,40,1,0,14743
13.867915,35,6,0,14060
16.110202,37,4,0,14305
19.680284,41,1,0,14735
13.323081,42,1,0,15087
15.875805,42,1,0,14693
16.846068,41,3,0,14881
16.331305,40,5,0,15116
18.065475,41,5,0,15372
21.106668,46,1,0,15758
14.673562,47,1,0,15999
18.713585,48,1,0,16312
22.747235,41,9,0,16178
18.910659,49,1,0,16563
32.338018,50,1,0,16831
30.156247,51,1,0,16768
28.958461,49,1,0,16155
36.286622,49,2,0,16451
24.045990,51,1,0,16676
26.303082,51,1,0,16634
28.153509,52,1,0,17001
26.277544,51,3,0,17152
32.093234,53,2,0,17546
29.263722,52,3,0,17624
31.797364,54,1,0,17413
43.299490,55,1,0,17828
30.415014,56,1,0,18151
22.367555,57,1,0,18425
28.587245,-838898656,-847210480,-862825856,-839120704
43.761010,32662,32662,32662,32662
