#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.499329,0.083599,0.778750,0.004362,0.004362,5.370054
5.452245,0.449470,3.096251,0.001368,0.001368,9.001029
8.664256,0.443246,3.249995,0.389385,0.389385,25.643020
4.561904,0.268870,3.868631,0.354802,0.354802,23.695668
6.460666,0.312983,4.424874,0.419836,0.419836,27.854133
6.076111,0.226856,4.058029,0.572649,0.572649,34.003410
8.086858,0.540690,5.775740,1.198977,1.198977,54.495455
8.533688,0.406927,5.727303,0.904121,0.904121,45.221606
6.158274,0.523938,7.609364,1.460882,1.460882,52.861376
5.948979,0.263799,8.390115,2.624518,2.624518,56.386422
11.686398,0.347784,9.049085,1.270353,1.270353,62.876868
8.635772,0.192731,12.462813,1.625364,1.625364,73.187511
5.893913,0.467977,11.005220,2.733066,2.733066,66.729163
8.199522,0.266417,8.935139,2.956517,2.956517,83.383747
7.962066,0.268283,9.175663,3.471694,3.471694,83.672293
9.307302,0.317873,10.828142,4.167767,4.167767,83.194745
7.623605,0.469010,19.397548,3.141773,3.141773,99.774255
7.199911,0.260469,13.558785,3.352628,3.352628,100.764113
7.513346,0.680865,14.263282,4.487229,4.487229,105.765958
9.384288,0.297483,19.830615,4.462826,4.462826,110.025406
7.402178,0.149777,17.230064,5.220981,5.220981,112.559665
6.275622,0.222894,14.884563,4.227080,4.227080,147.812082
8.924072,0.646931,21.903921,7.989890,7.989890,163.821251
9.640114,0.285754,23.441134,6.827475,6.827475,168.749779
7.102138,0.470796,13.952021,7.787658,7.787658,154.460857
8.525246,0.411142,15.871913,5.779642,5.779642,153.808514
13.290483,0.431691,15.947934,11.355100,11.355100,173.812516
12.886931,0.413610,28.095745,9.261614,9.261614,216.155453
11.748050,0.427803,31.579140,9.310176,9.310176,201.012685
10.778541,0.268375,32.496389,6.634282,6.634282,193.204676
13.326564,0.527244,26.076216,7.967768,7.967768,180.464744
15.187710,0.336950,27.569140,13.730777,13.730777,203.198534
13.090565,0.294377,27.366928,11.817409,11.817409,220.104294
10.345074,0.265936,28.601156,8.451132,8.451132,243.364853
8.942928,0.257805,22.026484,11.116064,11.116064,208.107150
12.862806,0.475527,28.618645,9.117229,9.117229,239.067487
10.885240,0.473965,36.258001,11.273300,11.273300,238.576145
13.990000,0.297061,34.643134,11.255594,11.255594,256.721353
15.720577,0.333683,48.475305,12.851420,12.851420,259.233510
18.464594,0.585157,40.172496,13.867915,13.867915,261.885387
8.637721,0.264637,29.442440,16.110202,16.110202,271.930568
7.219177,0.546165,24.510877,19.680284,19.680284,287.587717
14.369044,0.510932,31.234861,13.323081,13.323081,320.189852
10.627427,0.467991,34.391371,15.875805,15.875805,293.848387
18.471797,0.985510,41.984053,16.846068,16.846068,311.036998
14.441413,0.337814,35.612581,16.331305,16.331305,297.926000
18.412408,0.595975,28.445334,18.065475,18.065475,289.330408
15.110366,0.604436,29.178884,21.106668,21.106668,332.572414
22.779031,0.826891,38.740678,14.673562,14.673562,328.056235
10.949442,0.884760,42.675556,18.713585,18.713585,336.486095
19.596686,0.504147,47.514732,22.747235,22.747235,334.229858
20.066850,0.394751,40.921180,18.910659,18.910659,332.099213
8.998004,0.552151,28.752994,32.338018,32.338018,293.133517
16.025386,0.820675,34.927549,30.156247,30.156247,367.165442
24.070180,1.278200,52.089630,28.958461,28.958461,376.180065
18.000046,0.534295,44.237938,36.286622,36.286622,353.715336
15.765697,0.186619,39.967628,24.045990,24.045990,374.914799
16.880786,0.352616,36.351935,26.303082,26.303082,393.920221
24.886353,0.571295,39.889856,28.153509,28.153509,393.929213
21.616752,0.756710,60.214981,26.277544,26.277544,406.415409
12.973282,0.700289,47.071447,32.093234,32.093234,367.127249
28.331145,0.710290,59.360172,29.263722,29.263722,433.256229
20.823682,0.289813,37.473289,31.797364,31.797364,402.177657
25.306785,0.693475,65.482163,43.299490,43.299490,594.070208
13.912930,0.725430,38.376089,30.415014,30.415014,397.353346
11.441352,0.591664,33.356811,22.367555,22.367555,354.705422
21.298120,0.409749,34.687317,28.587245,28.587245,391.122025
16.169299,1.042389,65.021976,43.761010,43.761010,523.052411
